group,attribute,value,pct
dentist,age,45-54 years old,17.4
dentist,age,55-64 years old,18.21
dentist,age,65+ years old,21.59
dentist,race,white,67.89
dentist,race,black,4.21
dentist,race,asian,19.61
dentist,race,hispanic,8.29
dentist,gender,female,31.59
dentist,gender,male,68.41
designer,age,0-16 years old,0.0
designer,age,16-24 years old,7.86
designer,age,25-34 years old,25.07
designer,age,35-44 years old,22.8
designer,age,45-54 years old,17.27
designer,age,55-64 years old,15.99
designer,age,65+ years old,11.01
designer,race,white,73.28
designer,race,black,4.86
designer,race,asian,10.07
designer,race,hispanic,11.8
designer,gender,female,53.38
designer,gender,male,46.62
dietitian,age,0-16 years old,0.0
dietitian,age,16-24 years old,6.05
dietitian,age,25-34 years old,29.78
dietitian,age,35-44 years old,21.69
dietitian,age,45-54 years old,14.91
dietitian,age,55-64 years old,17.28
dietitian,age,65+ years old,10.29
dietitian,race,white,71.13
dietitian,race,black,11.87
dietitian,race,asian,8.24
dietitian,race,hispanic,8.76
dietitian,gender,female,92.05
dietitian,gender,male,7.95
doctor,age,0-16 years old,0.0
doctor,age,16-24 years old,2.03
doctor,age,25-34 years old,23.75
doctor,age,35-44 years old,24.25
doctor,age,45-54 years old,19.5
doctor,age,55-64 years old,16.45
doctor,age,65+ years old,14.03
doctor,race,white,68.58
doctor,race,black,6.32
doctor,race,asian,17.54
doctor,race,hispanic,7.55
doctor,gender,female,46.0
doctor,gender,male,54.0
driver,age,0-16 years old,0.0
driver,age,16-24 years old,11.91
driver,age,25-34 years old,18.67
driver,age,35-44 years old,18.37
driver,age,45-54 years old,19.19
driver,age,55-64 years old,20.03
driver,age,65+ years old,11.83
driver,race,white,56.81
driver,race,black,17.8
driver,race,asian,4.19
driver,race,hispanic,21.2
driver,gender,female,12.62
driver,gender,male,87.38
editor,age,0-16 years old,0.0
editor,age,16-24 years old,10.76
editor,age,25-34 years old,21.32
editor,age,35-44 years old,17.53
editor,age,45-54 years old,16.12
editor,age,55-64 years old,17.1
editor,age,65+ years old,17.19
editor,race,white,69.25
editor,race,black,13.64
editor,race,asian,5.35
editor,race,hispanic,11.76
editor,gender,female,68.71
editor,gender,male,31.29
electrician,age,0-16 years old,0.0
electrician,age,16-24 years old,11.02
electrician,age,25-34 years old,22.87
electrician,age,35-44 years old,22.24
electrician,age,45-54 years old,18.8
electrician,age,55-64 years old,17.55
electrician,age,65+ years old,7.51
electrician,race,white,70.04
electrician,race,black,8.02
electrician,race,asian,3.03
electrician,race,hispanic,18.91
electrician,gender,female,2.74
electrician,gender,male,97.26
engineering technician,age,0-16 years old,0.0
engineering technician,age,16-24 years old,11.94
engineering technician,age,25-34 years old,22.06
engineering technician,age,35-44 years old,17.55
engineering technician,age,45-54 years old,18.07
engineering technician,age,55-64 years old,20.79
engineering technician,age,65+ years old,9.59
engineering technician,race,white,69.14
engineering technician,race,black,10.57
engineering technician,race,asian,6.93
engineering technician,race,hispanic,13.36
engineering technician,gender,female,20.78
engineering technician,gender,male,79.22
farmer,age,0-16 years old,0.0
farmer,age,16-24 years old,15.04
farmer,age,25-34 years old,17.87
farmer,age,35-44 years old,18.16
farmer,age,45-54 years old,15.24
farmer,age,55-64 years old,17.92
farmer,age,65+ years old,15.78
farmer,race,white,59.69
farmer,race,black,3.26
farmer,race,asian,2.84
farmer,race,hispanic,34.2
farmer,gender,female,26.02
farmer,gender,male,73.98
firefighter,age,0-16 years old,0.0
firefighter,age,16-24 years old,8.46
firefighter,age,25-34 years old,26.08
firefighter,age,35-44 years old,28.11
firefighter,age,45-54 years old,20.69
firefighter,age,55-64 years old,13.0
firefighter,age,65+ years old,3.66
firefighter,race,white,76.5
firefighter,race,black,8.45
firefighter,race,asian,2.57
firefighter,race,hispanic,12.48
firefighter,gender,female,5.26
firefighter,gender,male,94.74
fitness worker,age,0-16 years old,0.0
fitness worker,age,16-24 years old,34.86
fitness worker,age,25-34 years old,19.04
fitness worker,age,35-44 years old,15.41
fitness worker,age,45-54 years old,11.27
fitness worker,age,55-64 years old,11.27
fitness worker,age,65+ years old,8.15
fitness worker,race,white,69.6
fitness worker,race,black,12.54
fitness worker,race,asian,5.71
fitness worker,race,hispanic,12.15
fitness worker,gender,female,62.47
fitness worker,gender,male,37.53
gaming attendant,age,0-16 years old,0.0
gaming attendant,age,16-24 years old,11.58
gaming attendant,age,25-34 years old,18.85
gaming attendant,age,35-44 years old,23.54
gaming attendant,age,45-54 years old,18.28
gaming attendant,age,55-64 years old,16.91
gaming attendant,age,65+ years old,10.84
gaming attendant,race,white,52.48
gaming attendant,race,black,10.66
gaming attendant,race,asian,24.12
gaming attendant,race,hispanic,12.73
gaming attendant,gender,female,44.86
gaming attendant,gender,male,55.14
hairdresser,age,0-16 years old,0.0
hairdresser,age,16-24 years old,8.58
hairdresser,age,25-34 years old,24.57
hairdresser,age,35-44 years old,23.29
hairdresser,age,45-54 years old,18.0
hairdresser,age,55-64 years old,14.99
hairdresser,age,65+ years old,10.57
hairdresser,race,white,63.8
hairdresser,race,black,13.18
hairdresser,race,asian,6.54
hairdresser,race,hispanic,16.48
hairdresser,gender,female,91.24
hairdresser,gender,male,8.76
hotel attendant,age,0-16 years old,0.0
hotel attendant,age,16-24 years old,45.33
hotel attendant,age,25-34 years old,20.49
hotel attendant,age,35-44 years old,11.02
hotel attendant,age,45-54 years old,8.82
hotel attendant,age,55-64 years old,9.59
hotel attendant,age,65+ years old,4.74
hotel attendant,race,white,55.63
hotel attendant,race,black,19.14
hotel attendant,race,asian,11.19
hotel attendant,race,hispanic,14.03
hotel attendant,gender,female,65.82
hotel attendant,gender,male,34.18
kitchen helper,age,0-16 years old,0.0
kitchen helper,age,16-24 years old,41.44
kitchen helper,age,25-34 years old,16.77
kitchen helper,age,35-44 years old,13.34
kitchen helper,age,45-54 years old,9.99
kitchen helper,age,55-64 years old,11.98
kitchen helper,age,65+ years old,6.48
kitchen helper,race,white,50.11
kitchen helper,race,black,19.47
kitchen helper,race,asian,5.17
kitchen helper,race,hispanic,25.25
kitchen helper,gender,female,22.06
kitchen helper,gender,male,77.94
landscaper,age,0-16 years old,0.0
landscaper,age,16-24 years old,21.49
landscaper,age,25-34 years old,19.0
landscaper,age,35-44 years old,20.65
landscaper,age,45-54 years old,17.03
landscaper,age,55-64 years old,13.99
landscaper,age,65+ years old,7.85
landscaper,race,white,51.88
landscaper,race,black,9.26
landscaper,race,asian,2.42
landscaper,race,hispanic,36.44
landscaper,gender,female,7.65
landscaper,gender,male,92.35
lawyer,age,0-16 years old,0.0
lawyer,age,16-24 years old,2.94
lawyer,age,25-34 years old,18.96
lawyer,age,35-44 years old,23.04
lawyer,age,45-54 years old,20.0
lawyer,age,55-64 years old,19.17
lawyer,age,65+ years old,15.89
lawyer,race,white,76.36
lawyer,race,black,7.29
lawyer,race,asian,5.8
lawyer,race,hispanic,10.54
lawyer,gender,female,54.28
lawyer,gender,male,45.72
librarian,age,0-16 years old,0.0
librarian,age,16-24 years old,13.14
librarian,age,25-34 years old,14.93
librarian,age,35-44 years old,16.85
librarian,age,45-54 years old,17.45
librarian,age,55-64 years old,19.35
librarian,age,65+ years old,18.29
librarian,race,white,77.62
librarian,race,black,8.47
librarian,race,asian,5.02
librarian,race,hispanic,8.89
librarian,gender,female,77.33
librarian,gender,male,22.67
logger,age,0-16 years old,0.0
logger,age,16-24 years old,16.52
logger,age,25-34 years old,19.01
logger,age,35-44 years old,18.85
logger,age,45-54 years old,16.92
logger,age,55-64 years old,17.28
logger,age,65+ years old,11.42
logger,race,white,76.19
logger,race,black,6.33
logger,race,asian,2.35
logger,race,hispanic,15.13
logger,gender,female,9.14
logger,gender,male,90.86
machinist,age,0-16 years old,0.0
machinist,age,16-24 years old,7.35
machinist,age,25-34 years old,18.73
machinist,age,35-44 years old,17.24
machinist,age,45-54 years old,19.85
machinist,age,55-64 years old,24.97
machinist,age,65+ years old,11.85
machinist,race,white,75.02
machinist,race,black,6.24
machinist,race,asian,5.3
machinist,race,hispanic,13.43
machinist,gender,female,8.15
machinist,gender,male,91.85
mail carrier,age,0-16 years old,0.0
mail carrier,age,16-24 years old,3.5
mail carrier,age,25-34 years old,16.45
mail carrier,age,35-44 years old,19.61
mail carrier,age,45-54 years old,23.24
mail carrier,age,55-64 years old,25.92
mail carrier,age,65+ years old,11.29
mail carrier,race,white,61.06
mail carrier,race,black,18.54
mail carrier,race,asian,6.93
mail carrier,race,hispanic,13.48
mail carrier,gender,female,39.92
mail carrier,gender,male,60.08
massage therapist,age,0-16 years old,0.0
massage therapist,age,16-24 years old,3.83
massage therapist,age,25-34 years old,23.41
massage therapist,age,35-44 years old,25.83
massage therapist,age,45-54 years old,21.75
massage therapist,age,55-64 years old,16.05
massage therapist,age,65+ years old,9.13
massage therapist,race,white,68.48
massage therapist,race,black,8.66
massage therapist,race,asian,10.49
massage therapist,race,hispanic,12.36
massage therapist,gender,female,80.29
massage therapist,gender,male,19.71
medical technician,age,0-16 years old,0.0
medical technician,age,16-24 years old,17.46
medical technician,age,25-34 years old,28.29
medical technician,age,35-44 years old,19.19
medical technician,age,45-54 years old,14.41
medical technician,age,55-64 years old,13.49
medical technician,age,65+ years old,7.17
medical technician,race,white,60.67
medical technician,race,black,14.45
medical technician,race,asian,9.31
medical technician,race,hispanic,15.57
medical technician,gender,female,73.82
medical technician,gender,male,26.18
miner,age,0-16 years old,0.0
miner,age,16-24 years old,11.95
miner,age,25-34 years old,27.36
miner,age,35-44 years old,26.79
miner,age,45-54 years old,15.33
miner,age,55-64 years old,13.44
miner,age,65+ years old,5.13
miner,race,white,68.65
miner,race,black,6.67
miner,race,asian,2.06
miner,race,hispanic,22.62
miner,gender,female,3.21
miner,gender,male,96.79
model maker,age,0-16 years old,0.0
model maker,age,16-24 years old,9.26
model maker,age,25-34 years old,17.32
model maker,age,35-44 years old,25.73
model maker,age,45-54 years old,14.15
model maker,age,55-64 years old,18.41
model maker,age,65+ years old,15.12
model maker,race,white,78.2
model maker,race,black,7.14
model maker,race,asian,4.66
model maker,race,hispanic,10.0
model maker,gender,female,14.48
model maker,gender,male,85.52
nurse,age,0-16 years old,0.0
nurse,age,16-24 years old,10.24
nurse,age,25-34 years old,22.48
nurse,age,35-44 years old,20.67
nurse,age,45-54 years old,18.39
nurse,age,55-64 years old,17.94
nurse,age,65+ years old,10.28
nurse,race,white,56.11
nurse,race,black,20.25
nurse,race,asian,8.53
nurse,race,hispanic,15.11
nurse,gender,female,85.75
nurse,gender,male,14.25
operations manager,age,0-16 years old,0.0
operations manager,age,16-24 years old,3.66
operations manager,age,25-34 years old,16.97
operations manager,age,35-44 years old,23.73
operations manager,age,45-54 years old,24.26
operations manager,age,55-64 years old,21.66
operations manager,age,65+ years old,9.73
operations manager,race,white,70.38
operations manager,race,black,7.64
operations manager,race,asian,3.54
operations manager,race,hispanic,18.44
operations manager,gender,female,12.13
operations manager,gender,male,87.87
packager,age,0-16 years old,0.0
packager,age,16-24 years old,26.41
packager,age,25-34 years old,23.19
packager,age,35-44 years old,18.03
packager,age,45-54 years old,14.8
packager,age,55-64 years old,12.96
packager,age,65+ years old,4.61
packager,race,white,28.6
packager,race,black,21.97
packager,race,asian,8.06
packager,race,hispanic,41.37
packager,gender,female,55.81
packager,gender,male,44.19
personal care specialist,age,0-16 years old,0.0
personal care specialist,age,16-24 years old,9.44
personal care specialist,age,25-34 years old,24.09
personal care specialist,age,35-44 years old,23.76
personal care specialist,age,45-54 years old,25.24
personal care specialist,age,55-64 years old,13.66
personal care specialist,age,65+ years old,3.8
personal care specialist,race,white,28.03
personal care specialist,race,black,4.89
personal care specialist,race,asian,52.02
personal care specialist,race,hispanic,15.06
personal care specialist,gender,female,88.48
personal care specialist,gender,male,11.52
photographer,age,0-16 years old,0.0
photographer,age,16-24 years old,10.74
photographer,age,25-34 years old,27.31
photographer,age,35-44 years old,26.19
photographer,age,45-54 years old,14.42
photographer,age,55-64 years old,11.81
photographer,age,65+ years old,9.53
photographer,race,white,72.91
photographer,race,black,8.93
photographer,race,asian,6.04
photographer,race,hispanic,12.12
photographer,gender,female,51.83
photographer,gender,male,48.17
physical therapist,age,0-16 years old,0.0
physical therapist,age,16-24 years old,2.19
physical therapist,age,25-34 years old,30.16
physical therapist,age,35-44 years old,27.77
physical therapist,age,45-54 years old,20.45
physical therapist,age,55-64 years old,14.11
physical therapist,age,65+ years old,5.32
physical therapist,race,white,75.01
physical therapist,race,black,4.73
physical therapist,race,asian,12.96
physical therapist,race,hispanic,7.3
physical therapist,gender,female,66.31
physical therapist,gender,male,33.69
pilot,age,0-16 years old,0.0
pilot,age,16-24 years old,5.92
pilot,age,25-34 years old,18.93
pilot,age,35-44 years old,23.36
pilot,age,45-54 years old,20.06
pilot,age,55-64 years old,21.96
pilot,age,65+ years old,9.76
pilot,race,white,87.17
pilot,race,black,3.7
pilot,race,asian,3.13
pilot,race,hispanic,6.0
pilot,gender,female,7.05
pilot,gender,male,92.95
plumber,age,0-16 years old,0.0
plumber,age,16-24 years old,10.31
plumber,age,25-34 years old,22.2
plumber,age,35-44 years old,22.39
plumber,age,45-54 years old,18.91
plumber,age,55-64 years old,18.37
plumber,age,65+ years old,7.82
plumber,race,white,64.6
plumber,race,black,7.73
plumber,race,asian,2.46
plumber,race,hispanic,25.21
plumber,gender,female,2.24
plumber,gender,male,97.76
police officer,age,0-16 years old,0.0
police officer,age,16-24 years old,6.68
police officer,age,25-34 years old,24.97
police officer,age,35-44 years old,24.86
police officer,age,45-54 years old,23.34
police officer,age,55-64 years old,14.22
police officer,age,65+ years old,5.93
police officer,race,white,63.31
police officer,race,black,17.33
police officer,race,asian,3.63
police officer,race,hispanic,15.72
police officer,gender,female,23.83
police officer,gender,male,76.17
porter,age,0-16 years old,0.0
porter,age,16-24 years old,21.34
porter,age,25-34 years old,17.04
porter,age,35-44 years old,15.44
porter,age,45-54 years old,12.89
porter,age,55-64 years old,18.87
porter,age,65+ years old,14.42
porter,race,white,41.36
porter,race,black,26.06
porter,race,asian,8.65
porter,race,hispanic,23.93
porter,gender,female,34.22
porter,gender,male,65.78
producer,age,0-16 years old,0.0
producer,age,16-24 years old,12.15
producer,age,25-34 years old,29.28
producer,age,35-44 years old,25.22
producer,age,45-54 years old,17.6
producer,age,55-64 years old,9.98
producer,age,65+ years old,5.76
producer,race,white,71.14
producer,race,black,9.07
producer,race,asian,5.8
producer,race,hispanic,13.99
producer,gender,female,36.85
producer,gender,male,63.15
production worker,age,0-16 years old,0.0
production worker,age,16-24 years old,13.67
production worker,age,25-34 years old,21.17
production worker,age,35-44 years old,18.79
production worker,age,45-54 years old,18.61
production worker,age,55-64 years old,19.11
production worker,age,65+ years old,8.66
production worker,race,white,52.82
production worker,race,black,15.7
production worker,race,asian,7.38
production worker,race,hispanic,24.09
production worker,gender,female,35.61
production worker,gender,male,64.39
rail worker,age,0-16 years old,0.0
rail worker,age,16-24 years old,3.13
rail worker,age,25-34 years old,17.16
